macOS Artifacts by: mac4n6 group,@pstirparo,,Want to add to the list? Visit https://github.com/pstirparo/mac4n6,,
v0.2 - Last Modified: 14 Sept 2018,,,,,
,,,,,
SYSTEM ARTIFACTS,,,,,
Artifact,Name,Labels,Path,Notes,Urls
,,,,,
Autorun Locations,,,,,
Launch Agents files,MacOSLaunchAgents,System,/Library/LaunchAgents/*,,
"""","""","""",/System/Library/LaunchAgents/*,,
"""","""","""",%%users.homedir%%/Library/LaunchAgents/*,new,
Launch Daemons files,MacOSLaunchDaemons,System,/Library/LaunchDaemons/*,,
"""","""","""",/System/Library/LaunchDaemons/*,,
"""","""","""",%%users.homedir%%/Library/LaunchDaemons/*,new,
Startup Items file,MacOSStartupItems,System,/Library/StartupItems/*,,
"""","""","""",/System/Library/StartupItems/*,,
,,,,,
System Logs,,,,,
System Log files main folder,MacOSSystemLogs,"System, Logs",/var/log/*,,
Apple System Log,MacOSAppleSystemLogs,"System, Logs",/var/log/asl/*,"Filename format as YYYY.MM.DD.[UID].[GID].asl, while YYYY.MM.DD.[UID].[GID].asl of logs per user",
Audit Log,MacOSAuditLogs,"System, Logs",/var/audit/*,,
Installation log,MacOSInstallationLog,"System, Logs",/var/log/install.log,"It contains install date of system, as well as date of system and software updates",
Mac OS X utmp and wmtp login record file,MacOSUtmpFile,"Logs, Authentication",/var/log/wtmp,"It contains entries about past logins. [up to Mac OS X version 10.4, deprecated since 10.5] new",https://github.com/libyal/dtformats/blob/master/documentation/Utmp%20login%20records%20format.asciidoc
"""","""","""",/var/log/utmp,"It contains information on currently logged-in users. [up to Mac OS X version 10.4, deprecated since 10.5] new",""""
Mac OS X lastlog file,MacOSLastlogFile,"Logs, Authentication",/var/log/lastlog,"It contains the name, port, and last login time for each user. [up to Mac OS X version 10.4, deprecated since 10.5] new",
Mac OS X 10.5 utmpx login record file,MacOSUtmpxFile,"Logs, Authentication",/var/run/utmpx,It contains information on currently logged in users. [from Mac OS X version 10.5],https://github.com/libyal/dtformats/blob/master/documentation/Utmp%20login%20records%20format.asciidoc
,,,,,
System Preferences,,,,,
System Preferences plist files,MacOSSystemPreferences,System,/Library/Preferences/**,,
Global Preferences plist file,MacOSGlobalPreferences,System,/Library/Preferences/.GlobalPreferences.plist,"It contains Global Preferences information such as the local time zone, geographical coordinates, etc.",
Login Window Info,MacOSLoginWindow,"System, Authentication",/Library/Preferences/com.apple.loginwindow.plist,Plist containing last user logged in,
Bluetooth Preferences and paierd device info,MacOSBluetooth,"System, Logs",/Library/Preferences/com.apple.Bluetooth.plist,Bluetooth preferences and paired devices,
Time Machine Info,MacOSTimeMachine,System,/Library/Preferences/com.apple.TimeMachine.plist,Time Machine backup info,
Keyboard layout plist file,MacOSKeyboardLayoutPlistFile,System,/Library/Preferences/com.apple.HIToolbox.plist,[new],
System configuration preferences plist file,MacOSSystemConfigurationPreferences,System,/Library/Preferences/SystemConfiguration/preferences.plist,[new],
,,,,,
System Settings and Informations,,,,,
OS Installation time,MacOSSystemInstallationTime,System,/var/db/.AppleSetupDone,Empty file. Its last modification time represent the date/time the OS was installed,
OS name and version,MacOSSystemVersion,System,/System/Library/CoreServices/SystemVersion.plist,Plist describing the installed Operating System,
Users Log In Password Hash Plist,MacOSPasswordHashes,"System, Users, Authentication",/var/db/dslocal/nodes/Default/users/*.plist,Contains the salted SHA-512 hash value for the user's log in password,
,,,,,
Sleep/Hibernate and Swap Image File,,,,,
Sleep Image File,MacOSSleepimage,System,/var/vm/sleepimage,Contents of RAM are written to this file when the computer is put to sleep,
Swap Files,MacOSSwapFiles,System,/var/vm/swapfile#,"Numerous swap files may be found in this directory with the naming convention of swapfile# (swapfile0, swapfile1, swapfile2, etc.)",
,,,,,
Kernel Extension,,,,,
Kernel extension (.kext) files,MacOSKexts,System,/System/Library/Extensions/*,Kext files are essentially drivers for Mac OS X.,
"""","""","""",/Library/Extensions/*,,
,,,,,
Software Installation,,,,,
Software Installation History,MacOSInstallationHistory,System,/Library/Receipts/InstallHistory.plist,It contains a history of installed applications and updates,
Software Update,MacOSUpdate,System,/Library/Preferences/com.apple.SoftwareUpdate.plist,Plist describing last attempt and last successful attempt at updating OS X software,
,,,,,
System Info Misc.,,,,,
Local Time Zone configuration,MacOSLocalTime,System,/etc/localtime,Simlink pointing to /usr/share/zoneinfo/XYZ,
Mac OS X at jobs,MacOSAtJobs,System,/usr/lib/cron/jobs/*,,https://developer.apple.com/library/mac/documentation/Darwin/Reference/ManPages/man1/at.1.html#//apple_ref/doc/man/1/at
Cron tabs,MacOSCronTabs,System,/etc/crontab,"Not present by default anymore [confirmed up to version 10.9 Maveriks], although MacOS has legacy support for cron ",
"""","""","""",/usr/lib/cron/tabs/*,,
Periodic system functions scripts and configuration,MacOSPeriodicSystemFunctions,System,/etc/defaults/periodic.conf,,https://developer.apple.com/library/mac/documentation/Darwin/Reference/ManPages/man8/periodic.8.html#//apple_ref/doc/man/8/periodic
"""","""","""",/etc/periodic.conf,[confirmed up to version 10.9 Maveriks],
"""","""","""",/etc/periodic.conf.local,[confirmed up to version 10.9 Maveriks],
"""","""","""",/etc/periodic/**2,[confirmed up to version 10.9 Maveriks],
"""","""","""",/usr/local/etc/periodic/**2,[confirmed up to version 10.9 Maveriks],
"""","""","""",/etc/daily.local/*,[confirmed up to version 10.9 Maveriks],
"""","""","""",/etc/weekly.local/*,[confirmed up to version 10.9 Maveriks],
"""","""","""",/etc/monthly.local/*,[confirmed up to version 10.9 Maveriks],
"""","""","""",/etc/periodic/daily/*,[New from 10.11 El Capitan. 10.10 to be confirmed] ,
"""","""","""",/etc/periodic/weekly/*,[New from 10.11 El Capitan. 10.10 to be confirmed] ,
"""","""","""",/etc/periodic/monthly/*,[New from 10.11 El Capitan. 10.10 to be confirmed] ,
,,,,,
Networking,,,,,
Hosts file,MacOSHostsFIle,"System, Network",/etc/hosts,,
Remembered Wireless Networks,MacOSWirelessNetworks,"System, Network",/Library/Preferences/SystemConfiguration/com.apple.airport.preferences.plist,Remembered wireless networks,
,,,,,
,,,,,
